nodeid	nodelen	ys	tunisia	bhagwa	taishanhong	dabenzi	azerbaijan
s10718	1533	1	1	1	1	1	1
s10719	2919	1	1	1	1	1	1
s10720	564	1	0	1	1	1	0
s10721	10906	1	1	1	1	1	1
s10722	95	1	1	1	0	1	1
s10723	26	1	1	1	0	1	1
s10724	27045	1	1	1	1	1	1
s10725	86	1	1	1	1	0	1
s10726	70	1	1	1	0	0	0
s10727	111	1	1	1	1	0	1
s10728	1008	1	1	1	1	1	1
s10729	28383	1	1	1	1	1	1
s10730	120	1	0	1	1	1	1
s10731	7076	1	1	1	1	1	1
s10732	333	1	0	1	1	1	1
s10733	3992	1	1	1	1	1	1
s10734	7	1	1	1	0	1	1
s10735	620	1	1	1	1	1	1
s10736	3209	1	0	1	1	1	1
s10737	2199	1	0	1	0	0	1
s10738	6	1	0	1	1	1	1
s10739	4144	1	1	1	1	1	1
s10740	5957	1	1	1	1	0	0
s10741	5728	1	1	1	1	1	1
s10742	309	1	0	1	1	1	1
s10743	83208	1	1	1	1	1	1
s10744	16172	1	1	1	1	1	0.980027
s10745	5981	1	1	1	1	0	0
s10746	296	1	1	1	1	1	0
s10747	21	1	1	1	0	1	0
s10748	237	1	1	1	0	0	0
s10749	91	1	1	1	1	0	0
s10750	30230	1	1	1	1	1	0.964142
s10751	3892	1	0	1	1	1	0
s10752	558	1	1	1	1	1	1
s10753	7137	1	1	1	1	1	1
s10754	95	1	1	1	0	1	1
s10755	13791	1	1	1	1	1	1
s10756	2140	1	1	1	0	1	1
s10757	869	1	1	1	1	1	1
s10758	101	1	1	1	0	1	1
s10759	1836	1	1	1	1	1	1
s10760	85	1	1	1	0	1	1
s10761	1906	1	1	1	1	1	1
s10762	98	1	1	1	1	0	0
s10763	119112	1	1	1	1	1	0.332309
s10764	2400	1	1	1	1	0	0
s10765	5105	1	1	1	1	1	0
s10766	6	1	0	1	1	1	0
s10767	271	1	1	1	1	1	0
s10768	759	1	1	1	1	0	0
s10769	79810	1	1	1	1	1	0
s10770	1721	1	1	1	1	1	0
s10771	1419	1	1	1	1	0	0
s10772	31575	1	1	1	0.269865	0.284307	0
s10773	36685	1	1	1	0.0589069	0.0820226	0
s10774	514	1	1	1	1	0	0
s10775	945	1	1	1	1	1	0
s10776	11	1	1	1	1	0	0
s10777	16412	1	1	1	1	1	0
s10778	14764	1	1	1	1	1	0
s10779	27314	1	1	1	1	1	0
s10780	29418	1	1	1	1	1	0
s10781	4	1	0	1	1	0	0
s10782	8160	1	1	1	1	1	0
s10783	356	1	1	1	1	0	0
s10784	346	1	1	1	1	1	0
s10785	206	1	1	1	1	0	0
s10786	5145	1	1	1	1	1	0
s10787	531	1	1	1	0	1	0
s10788	445	1	1	1	1	1	0
s10789	377	1	1	1	1	1	0
s10790	974	1	1	1	1	0	0
s10791	36	1	1	1	0	0	0
s10792	173	1	1	1	0	1	0
s10793	8553	1	1	1	1	1	0
s10794	209	1	1	1	0	0	0
s10795	1449	1	1	1	1	1	0
s10796	644	1	1	1	1	0	0
s10797	317	1	1	1	1	1	0
s10798	1309	1	1	1	1	1	0
s10799	1	1	1	1	1	0	0
s10800	39037	1	1	1	1	1	0
s10801	586	1	1	1	1	0	0
s10802	28990	1	1	1	1	1	0.713039
s10803	60	1	0	1	1	0	1
s10804	100265	1	1	1	1	1	1
s10805	71764	1	1	1	1	1	1
s10806	1716	1	1	1	1	1	1
s10807	5337	1	0	1	1	0	0
s10808	57729	1	1	1	1	1	1
s10809	278	1	0	1	0	0	1
s10810	84206	1	1	1	1	1	1
s10811	3321	1	0	1	0	0	1
s10812	8104	1	1	1	1	1	1
s10813	101577	1	1	1	0.98925	1	0.944781
s10814	77	1	1	1	0	1	0
s10815	12621	1	1	0	0	0	0
s10816	6421	1	0	0	0	0	0
s10817	1911	1	1	0	0	0	0
s10818	24276	1	1	1	0.980351	1	0
s10819	29595	1	1	1	1	1	0
s10820	693	1	1	0	1	1	0
s10821	42336	1	1	1	1	1	0.355655
s10822	29014	1	1	1	1	1	1
s10823	5935	1	1	1	1	1	1
s10824	94	1	1	1	1	0	1
s10825	17964	1	1	1	1	1	1
s10826	279	1	0	1	0	0	1
s10827	20411	1	1	1	1	1	0.983097
s10828	304	1	1	1	1	0	0
s10829	2846	1	1	1	1	1	0
s10830	165	1	1	1	1	0	0
s10831	5149	1	1	1	1	1	0
s10832	6252	1	1	1	1	1	0
s10833	7	1	1	0	1	0	0
s10834	93174	1	1	1	1	1	1
s10835	19666	1	1	1	1	1	1
s10836	43337	1	1	1	1	1	1
s10837	1352	1	0	1	1	0	1
s10838	7115	1	1	1	1	1	1
s10839	31028	1	1	1	1	1	1
s10840	20	1	1	1	1	1	0
s10841	106	1	1	1	1	1	1
s10842	101	1	1	1	0	0	1
s10843	1780	1	1	1	1	1	1
s10844	1587	1	1	1	0	0	1
s10845	23020	1	1	1	1	1	1
s10846	14546	1	1	1	1	1	1
s10847	173	1	1	1	1	0	1
s10848	6053	1	1	1	1	1	1
s10849	274	1	1	1	1	0	1
s10850	20688	1	1	1	1	1	0.98023
s10851	174	1	1	1	1	0	0
s10852	15772	1	1	1	1	1	0.931397
s10853	12253	1	1	1	1	1	1
s10854	30411	1	1	1	1	1	1
s10855	868	1	1	1	0	1	1
s10856	2163	1	1	1	1	1	1
s10857	226	1	0	1	1	1	0
s10858	31	1	0	1	1	0	0
s10859	299	1	1	1	1	1	1
s10860	633	1	1	1	0	1	1
s10861	1038	1	0	1	0	0	1
s10862	20	1	1	1	0	1	1
s10863	535	1	1	1	1	1	1
s10864	1031	1	1	1	1	0	1
s10865	68	1	0	1	1	0	1
s10866	393	1	1	1	1	1	1
s10867	26	1	0	1	1	0	1
s10868	107007	1	1	1	1	1	1
s10869	5074	1	0	1	0	0	0
s10870	5406	1	1	1	1	1	1
s10871	5	1	1	1	1	0	0
s10872	17973	1	1	1	1	1	0.667223
s10873	44847	1	1	1	1	1	0
s10874	524	1	1	1	0	0	0
s10875	18260	1	1	1	1	1	0
s10876	3691	1	1	1	1	0	0
s10877	5959	1	1	1	1	1	0
s10878	8693	1	1	1	1	1	0.957207
s10879	135	1	1	1	1	0	1
s10880	7691	1	1	1	1	1	1
s10881	556	1	1	1	0	1	1
s10882	3063	1	1	1	1	1	1
s10883	1	1	1	1	0	1	1
s10884	84	1	1	1	0	1	1
s10885	294	1	1	1	0	0	1
s10886	5	1	1	1	0	1	1
s10887	26211	1	1	1	1	1	1
s10888	56186	1	1	1	1	1	1
s10889	1455	1	1	1	1	0	0
s10890	4965	1	1	1	1	1	1
s10891	377	1	1	1	0	0	0
s10892	83830	1	1	1	1	1	0.999785
s10893	137	1	1	1	1	0	0
s10894	76796	1	1	1	1	1	0.512462
s10895	5423	1	1	1	0	0	0
s10896	9810	1	1	1	1	1	0
s10897	352	1	1	1	1	1	0
s10898	314	1	1	1	1	1	0
s10899	64995	1	1	1	1	1.00057	0
s10900	1116	1	1	1	1	1	0
s10901	64	1	1	1	1	0	0
s10902	11493	1	1	1	1	1	0
s10903	191	1	1	1	1	0	0
s10904	241	1	1	1	0	0	0
s10905	1	1	1	1	0	1	0
s10906	25916	1	1	1	1	1	0
s10907	156	1	1	1	1	0	0
s10908	18523	1	1	1	1	1	0
s10909	42948	1	1	1	1	1	0
s10910	54	1	1	0	1	0	0
s10911	37109	1	1	1	1	1	0.927188
s10912	33546	1	1	1	1	1	1
s10913	180	1	0	0	1	0	1
s10914	1523	1	1	1	1	1	1
s10915	27183	1	1	1	1	1	1
s10916	51	1	0	0	1	0	0
s10917	49560	1	1	1	1	1	1
s10918	155	1	1	1	1	1	0
s10919	44911	1	1	1	1	1	1
s10920	33735	1	1	1	1	1	0.862991
s10921	9593	1	1	1	1	1	0
s10922	50	1	1	1	1	0	0
s10923	10667	1	1	1	1	1	0
s10924	61983	1	1	1	1	1	0
s10925	705	1	1	1	0	0	0
s10926	373	1	1	1	1	1	0
s10927	47831	1	1	1	0.710522	1	0
s10928	881	1	1	1	0	0	0
s10929	9100	1	1	1	0.977363	1	0
s10930	8738	1	1	1	1	0	0
s10931	4139	1	1	1	1	1	0
s10932	1911	1	1	1	1	0	0
s10933	280	1	1	1	0	0	0
s10934	540	1	1	1	1	0	0
s10935	4406	1	1	1	1	1	0.855424
s10936	63	1	1	1	0	1	1
s10937	7460	1	1	1	1	1	1
s10938	22	1	1	0	1	1	0
s10939	16456	1	1	1	1	1	1
s10940	3	1	1	0	1	1	0
s10941	6512	1	1	1	1	1	1
s10942	52395	1	1	1	1	1	1
s10943	1	1	1	1	1	1	0
s10944	3972	1	1	1	1	1	1
s10945	8800	1	1	1	1	1	1
s10946	4060	1	1	1	1	1	1
s10947	60	1	1	1	1	1	0
s10948	101	1	1	1	1	1	1
s10949	15921	1	1	1	1	1	1
s10950	142	1	1	1	0	1	1
s10951	33045	1	1	1	1	1	0.939658
s10952	116550	1	1	1	1	1	0.702977
s10953	59821	1	1	1	1	1	0.769195
s10954	104	1	1	1	0	1	1
s10955	1400	1	1	1	1	1	1
s10956	106	1	0	1	0	1	1
s10957	45767	1	1	1	1	1	1
s10958	293	1	1	1	1	1	1
s10959	525	1	1	1	0	1	1
s10960	32245	1	1	1	1	1	1
s10961	12	1	1	1	0	1	1
s10962	10922	1	1	1	1	1	1
s10963	229	1	1	1	0	1	1
s10964	106987	1	1	1	1	1	1
s10965	50	1	1	1	1	0	1
s10966	44474	1	1	1	1	1	0.681544
s10967	57	1	1	1	1	0	0
s10968	4319	1	1	1	1	1	0
s10969	124	1	1	1	1	0	0
s10970	349	1	1	1	1	1	0
s10971	1348	1	1	1	1	0	0
s10972	33857	1	1	1	0.436955	1	0
s10973	12	1	1	1	0	0	0
s10974	2996	1	1	1	0	1	0
s10975	88	1	1	1	0	0	0
s10976	3987	1	1	1	0	1	0
s10977	16	1	1	1	0	0	0
s10978	586	1	1	1	0	1	0
s10979	329	1	1	1	0	0	0
s10980	1187	1	1	1	0	1	0
s10981	1758	1	1	1	0	1	0
s10982	1459	1	1	1	0	0	0
s10983	30437	1	1	1	0.919374	1	0.892072
s10984	73473	1	1	1	1	1	1
s10985	18004	1	1	0	0	0.0859809	0.0667629
s10986	29095	1	0	0	0	0	0
s10987	11000	1	1	0	0	0	0
s10988	111194	1	0	0	0	0	0
s10989	15457	1	1	0	0	0	0
s10990	25	1	1	1	1	0	0
s10991	630	1	1	1	0	0	0
s10992	8790	1	1	1	1	0	0
s10993	29343	1	1	1	0	0	0.398903
s10994	32495	1	1	1	1	0.987044	1
s10995	39	1	1	1	1	0	1
s10996	8144	1	1	1	1	1	1
s10997	16141	1	1	1	1	1	1
s10998	71361	1	1	1	1	1	1
s10999	57706	1	1	1	1	1	1
s11000	55723	1	1	1	1	1	1
s11001	6	1	0	0	0	1	0
s11002	84676	1	1	1	1	1	1
s11003	4	1	1	1	1	0	1
s11004	5063	1	1	1	1	1	1
s11005	14123	1	1	1	1	1	1
s11006	347	1	1	1	1	1	1
s11007	566	1	1	0	1	1	1
s11008	12728	1	1	1	1	1	1
s11009	209	1	1	1	1	0	1
s11010	4017	1	1	1	1	1	1
s11011	96	1	0	0	0	0	0
s11012	490	1	1	1	1	1	1
s11013	1006	1	0	1	1	1	0
s11014	176	1	0	0	1	1	0
s11015	6	1	0	1	1	1	0
s11016	60	1	0	1	1	0	0
s11017	35	1	0	1	1	1	0
s11018	3377	1	1	1	1	1	1
s11019	4495	1	1	1	1	1	1
s11020	7381	1	1	1	1	1	1
s11021	15474	1	1	1	1	1	1
s11022	535	1	1	1	0	1	1
s11023	2588	1	1	1	0	0	0
s11024	1327	1	1	1	0	1	1
s11025	6375	1	1	1	1	1	1
s11026	1	1	1	1	1	0	1
s11027	5649	1	1	1	1	1	1
s11028	9	1	1	1	1	0	0
s11029	44	1	1	1	1	0	0
s11030	41166	1	1	1	1	1	1
s11031	18165	1	1	1	1	1	1
s11032	113	1	1	1	0	1	1
s11033	4768	1	1	1	1	1	1
s11034	1405	1	1	1	1	0	1
s11035	15768	1	0	1	0	0	0
s11036	164	1	1	1	1	0	1
s11037	20532	1	1	1	1	1	1
s11038	28725	1	1	1	1	1	1
s11039	29967	1	1	1	1	1	1
s11040	25776	1	1	1	1	1	1
s11041	311	1	1	0	1	1	1
s11042	107	1	1	0	1	0	0
s11043	650	1	1	0	0	0	0
s11044	48	1	1	0	0	1	1
s11045	346	1	1	0	1	1	1
s11046	49946	1	1	1	1	1	0.936732
s11047	229	1	1	1	1	0	0
s11048	48935	1	1	1	1	1	0.997466
s11049	118	1	1	1	0	1	1
s11050	18472	1	1	1	1	1	1
s11051	188	1	1	0	1	1	1
s11052	19789	1	1	1	1	1	1
s11053	25930	1	1	1	1	1	1
s11054	59	1	0	0	0	0	0
s11055	85413	1	1	1	1	1	1
s11056	116	1	1	1	0	1	1
s11057	100	1	1	1	1	1	1
s11058	3290	1	1	1	1	0	1
s11059	9	1	1	1	0	0	1
s11060	1107	1	1	1	1	0	1
s11061	66141	1	1	1	1	1	1
s11062	4	1	1	1	0	1	0
s11063	787	1	1	1	1	1	1
s11064	59	1	0	1	0	0	0
s11065	36262	1	1	1	1	1	1
s11066	1698	1	0	1	0	0	0
s11067	126105	1	1	1	1	1	0.856366
s11068	348	1	1	1	1	1	1
s11069	3	1	1	1	1	1	1
s11070	7	1	0	1	0	0	0
s11071	4783	1	1	1	1	1	1
s11072	1745	1	1	1	1	1	1
s11073	4129	1	1	1	1	1	1
s11074	52	1	1	0	1	1	1
s11075	31647	1	1	1	1	1	1
s11076	1	1	0	1	0	1	0
s11077	13260	1	1	1	1	1	1
s11078	9189	1	1	1	1	1	1
s11079	75	1	1	1	1	0	1
s11080	319	1	1	1	1	1	1
s11081	9	1	0	1	0	0	0
s11082	40681	1	1	1	1	1	1
s11083	21	1	0	1	0	1	0
s11084	3451	1	1	1	1	1	1
s11085	1327	1	1	1	1	1	1
s11086	583	1	0	1	0	1	0
s11087	38083	1	1	1	1	1	1
s11088	44	1	1	1	1	0	1
s11089	32475	1	1	1	1	1	1
s11090	11427	1	1	1	1	1	1
s11091	52	1	1	1	1	0	1
s11092	13400	1	1	1	1	1	1
s11093	14071	1	1	1	1	1	1
s11094	14276	1	1	1	1	1	1
s11095	1395	1	1	1	0	1	0
s11096	72	1	1	1	0	0	0
s11097	50	1	1	1	0	1	0
s11098	30159	1	1	1	1	1	1
s11099	369	1	1	1	0	1	1
s11100	16140	1	1	1	1	1	1
s11101	9819	1	1	1	1	1	1
s11102	33988	1	1	1	1	1	1
s11103	20831	1	1	1	1	1	1
s11104	901	1	1	0	1	1	1
s11105	11709	1	1	1	1	1	1
s11106	48	1	1	1	1	0	0
s11107	1755	1	1	1	1	0	0
s11108	78405	1	1	1	1	1	0.994375
s11109	53823	1	1	1	1	1	0.988221
s11110	22009	1	1	1	1	1	0
s11111	50691	1	1	1	1	1	0
s11112	52	1	1	1	0	0	0
s11113	25453	1	1	1	1	1	0
s11114	6286	1	1	1	1	1	0
s11115	247	1	1	1	1	0	0
s11116	10317	1	1	1	1	1	0
s11117	773	1	1	1	1	1	0
s11118	45	1	1	1	1	0	0
s11119	26940	1	1	1	1	1	0
s11120	161489	1	1	1	0.99499	1	0.763222
s11121	60	1	1	1	1	0	0
s11122	22615	1	1	1	1	1	1
s11123	1681	1	0	0	0	0	0
s11124	9659	1	1	1	1	1	1
s11125	74	1	1	1	1	0	1
s11126	3565	1	1	1	1	1	1
s11127	22	1	1	1	0	1	1
s11128	303	1	1	1	1	1	1
s11129	123	1	1	1	0	1	0
s11130	403	1	1	1	1	1	1
s11131	2288	1	1	1	0	1	1
s11132	355	1	1	1	1	1	1
s11133	2996	1	1	1	1	1	1
s11134	403	1	1	1	1	1	1
s11135	26	1	1	1	0	1	0
s11136	49199	1	1	1	1	1	1
s11137	16165	1	1	1	1	1	1
s11138	19651	1	0	0	0	0	0
s11139	37370	1	1	1	1	0.661868	0.661306
s11140	555	1	0	0	0	0	0
s11141	14473	1	1	1	1	0	0
s11142	10714	1	0	0	0	0	0
s11143	7868	1	1	1	1	0	0
s11144	1904	1	0	0	0	0	0
s11145	18043	1	1	1	1	0	0
s11146	534	1	0	0	0	0	0
s11147	2674	1	1	1	1	0	0
s11148	6193	1	0	0	0	0	0
s11149	54681	1	1	1	1	0	0
s11150	6216	1	0	0	0	0	0
s11151	23492	1	1	1	1	0	0
s11152	116	1	1	0	0	0	0
s11153	5925	1	1	1	1	0	0
s11154	370	1	1	1	0	0	0
s11155	22046	1	1	1	1	0.970788	0.84913400000000006
s11156	3	1	0	1	1	1	1
s11157	34649	1	1	1	1	1	1
s11158	4542	1	0	0	0	0	0
s11159	986	1	1	1	1	1	1
s11160	25972	1	1	1	1	1	1
s11161	10644	1	0	0	0	0	0
s11162	2639	1	1	1	1	1	1
s11163	62	1	0	0	0	0	0
s11164	16103	1	1	1	1	1	1
s11165	30136	1	1	1	1	1	1
s11166	205	1	1	1	0	1	1
s11167	8364	1	1	1	1	1	1
s11168	60	1	1	1	0	1	1
s11169	11678	1	1	1	1	1	0.738397
s11170	224	1	1	1	1	1	0
s11171	12	1	1	1	1	0	0
s11172	150	1	1	1	1	1	0
s11173	23	1	1	1	0	1	0
s11174	219	1	1	1	0	0	0
s11175	40	1	1	1	1	0	0
s11176	711	1	1	1	1	1	0
s11177	70776	1	1	1	1	1	0.98231
s11178	49350	1	1	1	1	1	0.980527
s11179	46	1	1	1	1	0	0
s11180	38165	1	1	1	1	1	0.415354
s11181	1091	1	1	1	0	1	0
s11182	308	1	1	1	0	0	0
s11183	2292	1	1	1	0	1	0
s11184	4370	1	1	1	0	1	0
s11185	36841	1	1	1	1	1	1
s11186	9146	1	1	1	1	1	1
s11187	146	1	0	0	1	0	0
s11188	67201	1	1	1	1	1	1
s11189	112410	1	1	1	1	1	0.85866
s11190	15315	1	1	1	1	1	0.87078
s11191	7	1	1	1	0	1	1
s11192	1224	1	1	1	1	1	1
s11193	106	1	1	1	0	1	0
s11194	30950	1	1	1	1	1	1
s11195	32179	1	1	1	1.00003	1	1
s11196	1194	1	1	1	1	1	1
s11197	7028	1	1	1	1	1	1
s11198	189	1	1	1	1	0	1
s11199	1210	1	1	1	1	1	1
s11200	1	1	1	1	1	0	0
s11201	300	1	1	1	1	1	1
s11202	9	1	1	1	1	0	0
s11203	44096	1	1	1	1	1	1
s11204	6152	1	1	1	1	1	1
s11205	30340	1	1	1	1	1	1
s11206	122	1	1	1	0	1	1
s11207	554	1	0	0	1	0	0
s11208	14652	1	1	1	1	1	1
s11209	393	1	1	1	0	1	1
s11210	4685	1	1	1	1	1	1
s11211	5485	1	1	1	1	1	1
s11212	241	1	1	1	1	0	1
s11213	390	1	1	1	1	1	1
s11214	436	1	1	1	0	1	1
s11215	22619	1	1	1	1	1	1
s11216	15720	1	1	1	1	1	1
s11217	12234	1	1	1	1	1	1
s11218	132	1	1	1	1	0	1
s11219	3396	1	1	1	1	1	1
s11220	231	1	1	1	0	1	1
s11221	13262	1	1	1	1	1	1
s11222	16703	1	1	1	1	1	0.898581
s11223	85	1	1	1	0	1	1
s11224	87110	1	1	1	1	1	1
s11225	1	1	1	1	0	0	0
s11226	219	1	1	1	1	1	1
s11227	13611	1	1	1	1	1	1
s11228	19	1	1	1	1	0	1
s11229	1076	1	1	1	1	1	1
s11230	40	1	1	1	1	0	1
s11231	53462	1	1	1	1	1	1
s11232	55444	1	1	1	1	1	1
s11233	17235	1	1	1	1	1	1
s11234	2	1	1	1	0	0	1
s11235	30	1	1	1	1	1	1
s11236	57	1	1	1	0	1	1
s11237	26992	1	1	1	1	1	1
s11238	2000	1	1	1	1	0	1
s11239	24875	1	1	1	1	1	1
s11240	55338	1	1	1	1	1	1
s11241	6	1	1	1	0	0	1
s11242	3359	1	1	1	1	1	1
s11243	807	1	1	1	1	0	0
s11244	926	1	1	1	1	1	1
s11245	1893	1	1	1	1	1	0.501321
s11246	276	1	1	1	1	1	0
s11247	717	1	1	1	1	0	0
s11248	480	1	1	1	1	1	0
s11249	319	1	1	1	1	1	0
s11250	1247	1	1	1	1	1	0
s11251	19	1	1	1	1	0	0
s11252	268	1	1	1	1	1	0
s11253	3	1	1	1	0	1	0
s11254	15425	1	1	1	1	1	0
s11255	23	1	1	1	1	1	0
s11256	838	1	1	1	1	1	0
s11257	1562	1	1	1	1	1	0
s11258	183	1	1	1	1	0	0
s11259	2311	1	1	1	1	1	0
s11260	155	1	1	1	0	0	0
s11261	29687	1	1	1	1	1	0.828982
s11262	86	1	1	1	1	1	1
s11263	144	1	1	1	0	1	1
s11264	270	1	1	1	0	0	0
s11265	1770	1	1	1	0	1	1
s11266	1221	1	1	1	0	0	1
s11267	2902	1	1	1	0	1	1
s11268	32645	1	1	1	1	1	1
s11269	46179	1	1	1	1	1	1
s11270	65960	1	1	1	1	1	1
s11271	14614	1	1	1	1	1	1
s11272	455	1	1	1	1	0	1
s11273	5982	1	1	1	0.688231	1	0.761618
s11274	14630	1	1	1	0	0	0
s11275	50765	1	1	1	0.993834	1	0.981247
s11276	2657	1	1	1	1	1	1
s11277	115	1	1	1	0	0	1
s11278	1434	1	1	1	1	1	1
s11279	595	1	1	1	1	0	0
s11280	17503	1	1	1	1	1	1
s11281	57	1	1	1	1	0	1
s11282	8466	1	1	1	1	1	1
s11283	66544	1	1	1	1	1	1
s11284	1537	1	1	1	1	1	1
s11285	29739	1	1	1	1	1	1
s11286	68069	1	1	1	1	1	1
s11287	22969	1	1	1	1	1	0.735034
s11288	147	1	1	1	1	0	0
s11289	813	1	1	1	1	1	0
s11290	153	1	1	1	0	0	0
s11291	1661	1	1	1	1	1	0
s11292	379	1	1	1	1	0	0
s11293	484	1	1	1	1	1	0
s11294	417	1	1	1	0	0	0
s11295	36061	1	1	1	1	1	0.164249
s11296	3	1	1	1	0	0	1
s11297	3495	1	1	1	1	1	1
s11298	2432	1	1	1	1	1	1
s11299	279	1	1	1	0	0	0
s11300	14543	1	1	1	1	1	1
s11301	171	1	1	1	1	0	1
s11302	221	1	1	1	1	0	0
s11303	71	1	1	1	1	1	0
s11304	30535	1	1	1	1	1	1
s11305	11046	1	1	1	1	1	1
s11306	33908	1	1	1	1	1	0.896986
s11307	616	1	1	1	0	1	0
s11308	923	1	1	1	0	1	0
s11309	208	1	1	1	0	1	0
s11310	205	1	1	1	0	0	0
s11311	405	1	1	1	0	1	0
s11312	507	1	1	1	0	1	0
s11313	22	1	1	1	0	0	0
s11314	626	1	1	1	0	1	0
s11315	6468	1	1	1	0	0	0
s11316	298	1	1	1	0	1	0
s11317	601	1	1	1	1	1	0
s11318	190	1	1	1	0	0	0
s11319	16	1	1	1	1	1	0
s11320	191	1	1	1	0	1	0
s11321	112459	1	1	1	1	1	0.993722
s11322	707	1	1	1	1	1	1
s11323	66	1	1	1	1	0	0
s11324	10246	1	1	1	1	1	1
s11325	65	1	1	1	1	0	1
s11326	4680	1	1	1	1	1	1
s11327	1079	1	1	1	1	0	1
s11328	222	1	1	1	1	1	1
s11329	275	1	1	1	0	0	1
s11330	5676	1	1	1	1	1	1
s11331	58687	1	1	1	1	1	1
s11332	256	1	1	1	1	0	1
s11333	3880	1	1	1	1	1	1
s11334	625	1	1	1	1	0	0
s11335	2417	1	1	1	1	1	1
s11336	3744	1	1	1	1	1	1
s11337	120	1	1	1	0	1	1
s11338	29252	1	1	1	1	1	1
s11339	3212	1	1	1	1	1	1
s11340	38115	1	1	1	1	1	1
s11341	31270	1	1	1	1	1	1
s11342	59	1	1	1	0	0	1
s11343	18000	1	1	1	1	1	1
s11344	5710	1	1	1	1	1	1
s11345	64	1	1	1	1	0	0
s11346	3675	1	1	1	1	1	1
s11347	1142	1	1	1	1	1	1
s11348	4178	1	1	1	1	1	1
s11349	10	1	1	1	1	0	0
s11350	1001	1	1	1	1	1	1
s11351	278	1	1	1	0	0	1
s11352	9224	1	1	1	1	1	1
s11353	14040	1	1	1	1	1	0.965242
s11354	362	1	1	1	1	0	0
s11355	5843	1	1	1	1	1	0
s11356	255	1	1	1	0	0	0
s11357	55277	1	1	1	1	1	0.960924
s11358	48997	1	1	1	1	1	1
s11359	266	1	1	1	0	1	1
s11360	99	1	1	1	0	0	1
s11361	42	1	1	1	1	0	1
s11362	34754	1	1	1	1	0.980981	1
s11363	33553	1	1	1	0.944714	1	1
s11364	2959	1	1	1	0	0	0
s11365	34107	1	1	1	0.69323	1	0.978714
s11366	432	1	1	1	1	0	0
s11367	38648	1	1	1	1	1	0.98401
s11368	5	1	1	1	1	0	1
s11369	32690	1	1	1	1	1	1
s11370	28266	1	1	1	1	1	1
s11371	49576	1	1	1	1	1	1
s11372	11860	1	1	1	0.425379	1	1
s11373	397	1	1	1	0	0	1
s11374	398	1	1	1	0	1	1
s11375	211	1	1	1	0	0	0
s11376	1944	1	1	1	0	1	1
s11377	14824	1	1	1	0.915542	1	1
s11378	91	1	1	1	1	0	1
s11379	792	1	1	1	1	1	1
s11380	70649	1	1	1	1	1	1
s11381	6431	1	1	1	0	0	0
s11382	2137	1	1	1	1	1	1
s11383	369	1	1	1	0	0	0
s11384	3566	1	1	1	1	1	1
s11385	1	1	1	1	1	0	1
s11386	6412	1	1	1	1	1	1
s11387	1067	1	1	1	1	1	1
s11388	223	1	1	1	1	1	1
s11389	306	1	1	1	1	0	1
s11390	16359	1	1	1	1	1	1
s11391	231	1	1	1	1	0	1
s11392	2224	1	1	1	0.665468	1	1
s11393	4988	1	1	1	0.329591	1	1
s11394	15	1	1	1	0	1	1
s11395	204	1	1	1	0	1	1
s11396	7621	1	1	1	1	1	1
s11397	60	1	1	1	1	0	1
s11398	1315	1	1	1	1	1	1
s11399	1463	1	1	1	1	1	1
s11400	295	1	1	1	0	1	1
s11401	233	1	1	1	1	1	1
s11402	3281	1	1	1	1	1	1
s11403	1211	1	1	1	1	1	1
s11404	744	1	1	1	1	1	1
s11405	296	1	1	1	1	1	1
s11406	1311	1	1	1	1	0	1
s11407	1723	1	1	1	1	1	0.283227
s11408	261	1	1	1	0	1	0
s11409	7115	1	1	1	1	1	0
s11410	390	1	1	1	1	0	0
s11411	312	1	1	1	1	1	0
s11412	1965	1	1	1	1	1	0
s11413	9445	1	1	1	1	1	0
s11414	822	1	1	1	0	0	0
s11415	37	1	1	1	1	1	0
s11416	357	1	1	1	0	1	0
s11417	17425	1	1	1	1	1	0
s11418	318	1	1	1	0	1	0
s11419	3883	1	1	1	1	1	0
s11420	279	1	1	1	1	0	0
s11421	4146	1	1	1	1	1	0
s11422	2086	1	1	1	1	0	0
s11423	35657	1	1	1	1	1	0
s11424	54	1	1	1	0	0	0
s11425	38881	1	1	1	1	1	0
s11426	14684	1	1	1	1	1	0
s11427	76420	1	1	1	0	0	0
s11428	14633	1	1	1	1	1	0
s11429	210	1	1	1	1	1	0
s11430	237	1	1	1	1	0	0
s11431	992	1	1	1	1	1	0
s11432	1313	1	1	1	1	0	0
s11433	3689	1	1	1	1	1	0
s11434	93	1	1	1	1	0	0
s11435	5457	1	1	1	1	1	0.994136
s11436	9	1	1	1	1	0	1
s11437	10071	1	1	1	1	1	1
s11438	41688	1	1	1	1	1	1
s11439	166	1	1	1	0	1	1
s11440	17954	1	1	1	1	1	1
s11441	63	1	1	1	0	1	1
s11442	9768	1	1	1	1	1	1
s11443	6	1	1	1	0	1	1
s11444	257	1	1	1	1	1	1
s11445	5536	1	1	1	1	1	1
s11446	145	1	1	1	1	0	1
s11447	13510	1	1	1	1	1	1
s11448	9697	1	1	1	1	1	1
s11449	144	1	1	1	1	0	0
s11450	12950	1	1	1	1	1	1
s11451	30804	1	1	1	1	1	0.926438
s11452	94	1	1	1	1	0	0
s11453	3993	1	1	1	1	1	0
s11454	532	1	1	1	1	1	0
s11455	724	1	1	1	1	1	0
